Source,SKU,Brand,Name,Price,RAM,SSD,Processor,GPU,VRAM,Link,Brand_Encoded,Processor_Encoded
Bhinneka,3339763545,LENOVO,"LENOVO Thinkpad L14 Gen 2 20X2S0VJ00 5 Years Warranty (Core i7-1165G7, 16GB, 512GB SSD, Win 10 Pro)",22500000.0,16.0,512.0,CORE I7-1165G,,,https://www.bhinneka.com/lenovo-thinkpad-l14-gen-2-20x2s0vj00-5-years-warranty-core-i7-1165g7-16gb-512gb-ssd-win-10-pro-black-sku3339763545,11,83
Bhinneka,3340108477,HP,"HP Laptop 14-ep0089TU (Core i3-N305, 8GB, 512GB SSD, Win 11 Home)",6899000.01,8.0,512.0,N305,,,https://www.bhinneka.com/hp-laptop-14-ep0089tu-core-i3-n305-8gb-512gb-ssd-win-11-home-800z1pa-gold-sku3340108477,9,186
Bhinneka,3340383084,HP,"HP Pavilion x360 Convertible 14-ek1069TU (Core i5-1335U, 16GB, 512GB SSD, Win 11 Home)",13349000.0,16.0,512.0,CORE I5-1335U,,,https://www.bhinneka.com/hp-pavilion-x360-convertible-14-ek1069tu-core-i5-1335u-16gb-512gb-ssd-win-11-home-88j09pa-space-blue-sku3340383084,9,67
Bhinneka,3340383181,HP,"HP Pavilion x360 Convertible 14-ek1067TU (Core i5-1335U, 16GB, 512GB SSD, Win11)",13499000.0,16.0,512.0,CORE I5-1335U,,,https://www.bhinneka.com/hp-pavilion-x360-convertible-14-ek1067tu-core-i5-1335u-16gb-512gb-ssd-win11-88j07pa-rose-gold-sku3340383181,9,67
Bhinneka,3340384151,HP,"HP Pavilion Plus Laptop 14-ew0015TU (Core i7-1355U, 16GB, 1TB SSD, Win 11 Home)",15999000.0,16.0,1024.0,CORE I7-1355U,,,https://www.bhinneka.com/hp-pavilion-plus-laptop-14-ew0015tu-core-i7-1355u-16gb-1tb-ssd-win-11-home-8r287pa-silver-sku3340384151,9,95
Bhinneka,3340114685,HP,"HP Pavilion x360 Convertible 14-ek1005TU (Core i5-1335U, 16GB, 512GB SSD, Win 11 Home )",13499000.0,16.0,512.0,CORE I5-1335U,,,https://www.bhinneka.com/hp-pavilion-x360-convertible-14-ek1005tu-core-i5-1335u-16gb-512gb-ssd-win-11-home-7n725pa-natural-silver-sku3340114685,9,67
Bhinneka,3340384636,HP,"HP Pavilion Plus Laptop 14-ew0016TU (Core i7-1355U, 16GB, 1TB SSD, Win 11 Home)",15999000.0,16.0,1024.0,CORE I7-1355U,,,https://www.bhinneka.com/hp-pavilion-plus-laptop-14-ew0016tu-core-i7-1355u-16gb-1tb-ssd-win-11-home-8r288pa-blue-sku3340384636,9,95
Bhinneka,3340384733,HP,"HP Laptop 14s-fq1135AU (AMD Ryzen 5, 8GB, 512GB SSD, AMD Radeon) ",7799000.0,8.0,512.0,"AMD RYZEN 5, 8GB, 512GB SSD, AMD RADEON",,,https://www.bhinneka.com/hp-laptop-14s-fq1135au-amd-ryzen-5-8gb-512gb-ssd-amd-radeon-8g1d0pa-silver-sku3340384733,9,7
Bhinneka,3340386091,HP,"HP Pavilion Aero Laptop 13-be2004AU (Ryzen 7-7735U, 16GB, 1TB SSD, Win 11 Home)",16499000.0,16.0,1024.0,"RYZEN 7-7735U, 16GB, 1TB SSD, WIN 11 HOME",,,https://www.bhinneka.com/hp-pavilion-aero-laptop-13-be2004au-ryzen-7-7735u-16gb-1tb-ssd-win-11-home-7l9c1pa-gold-sku3340386091,9,251
Bhinneka,3340390359,LENOVO,"LENOVO V14 G3 IAP (Core i3-1215U, 4GB, 256GB SSD, Win 11 Home)",6780000.0,4.0,256.0,CORE I3-1215U,,,https://www.bhinneka.com/lenovo-v14-g3-iap-core-i3-1215u-4gb-256gb-ssd-win-11-home-82ts00ejid-iron-grey-sku3340390359,11,49
Bhinneka,3340206738,LENOVO,"LENOVO ThinkBook 14 G4 IAP (Core i7-1255U, 16GB, 512GB SSD, MX550)",17049999.0,16.0,512.0,CORE I7-1255U,,,https://www.bhinneka.com/lenovo-thinkbook-14-g4-iap-core-i7-1255u-16gb-512gb-ssd-mx550-21dh00j1id-mineral-grey-sku3340206738,11,88
Bhinneka,3339924662,LENOVO,"LENOVO ThinkBook 14 G4 IAP (Core i7-1255U, 16GB, 1TB SSD, Win 11 Home)",16700000.01,16.0,1024.0,CORE I7-1255U,,,https://www.bhinneka.com/lenovo-thinkbook-14-g4-iap-core-i7-1255u-16gb-1tb-ssd-win-11-home-21dh00lkid-mineral-grey-sku3339924662,11,88
Bhinneka,3340390553,LENOVO,"LENOVO ThinkBook Plus G4 IRU (Core i7-1355U, 16GB, 1TB SSD, Win 11 Home)",31749000.0,16.0,1024.0,CORE I7-1355U,,,https://www.bhinneka.com/lenovo-thinkbook-plus-g4-iru-core-i7-1355u-16gb-1tb-ssd-win-11-home-21jj000eid-storm-grey-sku3340390553,11,95
Bhinneka,3340014096,LENOVO,"LENOVO Notebook V14 G3 IAP (Core i3-1215U, 4GB, 256GB SSD)",6679999.0,4.0,256.0,CORE I3-1215U,,,https://www.bhinneka.com/lenovo-notebook-v14-g3-iap-core-i3-1215u-4gb-256gb-ssd-82ts00alid-iron-grey-sku3340014096,11,49
Bhinneka,3340392396,LENOVO,"LENOVO V14 G3 IAP (Core i3-1215U, 8GB, 256GB SSD, Win 11 Home)",6980000.0,8.0,256.0,CORE I3-1215U,,,https://www.bhinneka.com/lenovo-v14-g3-iap-core-i3-1215u-8gb-256gb-ssd-win-11-home-82ts00ekid-iron-grey-sku3340392396,11,49
